Label,Pulgar,Indice,Corazon,Anular,Mennique,Pulgar_std,Indice_std,Corazon_std,Anular_std,Mennique_std,Pitch_median,Roll_median,Pitch_range,Roll_range,A_mag_mean,A_mag_std,G_mag_mean,G_mag_std
C,2788.0,2604.3,2640.2,2846.3,3733.2,4.9396356140913875,3.132091952673165,3.8418745424597094,7.963039620647383,2.4819347291981715,-0.732387447313168,-2.935967070201067,0.044130212156912485,0.12231000762240773,0.9515771954055502,0.018730755033034528,9.550656719238862,2.5795476795860104
C,2775.9,2585.0,2613.3,2833.2,3725.5,12.267436570041845,6.797058187186572,14.311184437355282,3.2186953878862163,11.800423721205947,-0.6553904462697232,-2.9286543040103963,0.10039098741165908,0.07438491569467498,0.9490783747841529,0.008957595496061734,14.175513123329262,4.284457689173729
C,2776.2,2585.2,2621.0,2826.3,3725.7,4.578209256903839,2.4000000000000004,6.884765791223402,7.576938695805847,3.318132004607412,-0.7382592590821735,-2.9669204545815537,0.023371027785393572,0.0590213436132192,0.9511494903731126,0.012026926580312639,7.828718359265546,1.3202684769767796
C,2776.4,2587.0,2627.0,2825.2,3724.7,2.0591260281974,12.320714265009151,11.304866208850063,7.4806416837060175,2.6476404589747453,-0.7135771323176916,-2.953741154443649,0.043933325631440145,0.04967953626438204,0.9562450724325637,0.01246440726391341,7.484283113131246,2.0761999620697575
C,2775.3,2586.2,2623.5,2826.2,3727.5,2.4919871588754225,4.935585071701227,8.709190547921201,10.777754868245983,4.652956049652737,-0.7209158754813827,-2.9468708650444877,0.06334524311637812,0.04647813135100298,0.9527419887303955,0.013881747370226386,6.431353689609774,2.652004849004377
C,2777.6,2586.5,2618.3,2827.7,3728.1,4.363484845854286,8.357631243360764,7.963039620647382,7.483982896827063,4.205948168962618,-0.7321699675926117,-2.942804339681908,0.06497612345223591,0.07071522321994639,0.9530609103310272,0.013225021701068151,6.773681144620907,1.499177691605369
C,2774.8,2581.5,2617.7,2824.9,3725.6,2.1354156504062622,9.656603957913983,8.820997676000149,8.263776376451629,3.136877428271624,-0.7266559413518576,-2.9484256355544796,0.05269831999517427,0.07641702968069897,0.9542344793955959,0.010322709557868324,6.032241770590554,0.9634724807396059
C,2775.4,2582.9,2616.4,2827.9,3728.4,3.1685959035509716,4.205948168962618,10.992724866929036,5.243090691567332,5.748043145279966,-0.7201361190400623,-2.92600665444043,0.03767520371839106,0.06634765661291508,0.9524840777827475,0.01280943286601004,6.706861021409996,0.9878133626810622
C,2774.3,2589.9,2618.4,2824.9,3726.5,7.142128534267638,8.324061508662703,3.8522720568516444,5.068530358989675,5.296225070746145,-0.7214919367569884,-2.921343930199104,0.048548131910647,0.06806764558890643,0.9508163820678185,0.01334944161619805,5.662245485054724,1.551672023005306
C,2777.0,2583.2,2613.3,2821.8,3723.4,3.872983346207417,2.181742422927143,11.602154972245458,13.658696863171098,4.386342439892262,-0.7265497791454385,-2.913691735784523,0.054261720821989545,0.08540411665248016,0.9487545120005351,0.00974042907815491,7.513418955319983,1.5680738508878924
C,2776.6,2585.1,2619.7,2825.7,3725.2,1.6852299546352716,5.028916384272064,2.3685438564654024,6.050619802962338,2.85657137141714,-0.7451313664583423,-2.912647895964902,0.05429777475906494,0.10917013290954314,0.9521722606743956,0.01174674432389444,7.623660382147489,1.4546279172609133
C,2780.1,2584.5,2622.3,2829.2,3729.3,5.855766388782941,9.41541289588513,11.260994627474076,13.496666255042392,3.5227829907617076,-0.764839008417998,-2.917539767535899,0.0524356842716448,0.032332547769139186,0.9479183385700951,0.008990183675013322,5.750590027410032,2.5680331650218777
C,2777.5,2587.5,2624.7,2830.3,3727.3,4.006245124802026,3.8535697735995385,5.139066063011839,5.4230987451825,5.657738063926255,-0.7520323261562123,-2.9088394821299395,0.03000406682244705,0.04249608398157134,0.9497138788832405,0.010175866378330935,5.512880416475862,1.2497397783686521
C,2774.3,2588.0,2616.0,2823.3,3723.5,10.954907576059234,7.0992957397195395,9.85900603509299,8.77553417177553,5.200961449578338,-0.7404026432998301,-2.9105019863938963,0.015565761502615127,0.030917979563042763,0.9464823324388387,0.006418284906069174,6.163211624112893,1.1487656316236616
C,2773.5,2587.0,2617.4,2828.0,3724.1,3.4713109915419564,6.826419266350405,8.272847151978574,10.881176406988354,2.3,-0.7342831032383554,-2.9158291583604354,0.03926896742674235,0.03852048984186096,0.9501063866727495,0.01441714270067366,6.635151608461189,1.6945008506149815
C,2770.0,2588.6,2624.0,2820.1,3722.9,6.115553940568262,5.219195340279955,5.477225575051661,8.030566605165541,2.4677925358506134,-0.6996932982810937,-2.9133047389577773,0.08948793465417504,0.09235086001303872,0.9526754107142734,0.010467178243932753,7.7904963141885775,2.4174464169065217
C,2772.5,2579.0,2621.8,2819.5,3717.4,3.170173496829472,6.942621983083913,11.258774356030056,12.41168803990819,9.32952303175248,-0.6975460131557388,-2.8999415910779307,0.068845950729859,0.04637391402351243,0.9482453215949189,0.009529431953096296,7.476581138489455,1.147390290870432
C,2775.7,2585.4,2611.0,2813.8,3722.9,11.018620603324175,10.278132126023678,4.669047011971501,7.626270385975047,2.507987240796891,-0.6919346221966942,-2.918412287893133,0.03887097657833838,0.03941619421377629,0.9531082861889763,0.010227159816505163,9.168150400919785,2.809275391647177
C,2775.4,2583.0,2613.8,2813.6,3721.2,3.1368774282716245,12.074767078498866,4.019950248448357,6.681317235396026,3.026549190084311,-0.7056811329901416,-2.9266792136043613,0.03444873516004254,0.03580903147636949,0.9502934898650057,0.01350122661791409,7.540384056795776,1.3163085793308835
