Label,Pulgar,Indice,Corazon,Anular,Mennique,Pulgar_std,Indice_std,Corazon_std,Anular_std,Mennique_std,Pitch_median,Roll_median,Pitch_range,Roll_range,A_mag_mean,A_mag_std,G_mag_mean,G_mag_std
I,2856.2,2691.6,2725.5,2914.4,3684.1,4.093897898091744,6.036555309114628,4.224926034855522,5.122499389946279,2.0712315177207983,-1.4263351851030188,-2.0032041023654346,0.033302542235812194,0.2063238940297174,0.9620095847393968,0.020677496694074,6.92314854251458,1.5528020666776063
I,2855.8,2686.2,2724.0,2906.4,3681.3,3.124099870362662,6.554387843269575,6.496152707564686,3.2619012860600183,2.3259406699226015,-1.3897000442584857,-1.935627306336514,0.039922171051104405,0.21866894587394192,0.9668924168095957,0.008891249411591544,7.135329083903903,3.3952347289097826
I,2854.0,2685.3,2721.5,2908.0,3680.5,4.219004621945797,13.03878828726044,5.445181356024793,3.22490309931942,4.964876634922564,-1.3811883651523786,-1.9861137123832049,0.022643069028961182,0.0730405653031192,0.9624299655503826,0.005344287669031189,7.101279764652999,1.5057541977792572
I,2850.5,2687.6,2719.6,2904.6,3680.2,4.924428900898052,5.642694391866354,3.6932370625238775,2.537715508089904,3.8418745424597094,-1.3765982808425619,-1.9614033704925835,0.02044020752019482,0.1418970546041638,0.9683544937838328,0.0077184434089283905,6.611829767290334,1.1196459835025803
I,2852.2,2680.0,2718.5,2905.4,3681.8,6.368673331236264,4.0,4.8218253804964775,4.779121258139408,6.477653896280659,-1.3877810989615376,-1.9723050694424338,0.02306745673049826,0.18707245787875704,0.9630696600994371,0.012523170363557577,5.762053718625296,1.2449405382091114
I,2851.2,2677.0,2720.8,2903.9,3681.2,3.709447398198282,4.795831523312719,3.4000000000000004,4.4821869662029945,1.886796226411321,-1.3861261946845214,-1.9198279691572049,0.03220509488139589,0.2544946328200415,0.9621755732347218,0.005307190446417017,6.06505961119444,1.6990326402567877
I,2848.9,2680.9,2718.6,2903.3,3683.6,4.784349485562275,9.994498486667553,3.1999999999999997,9.839207285142436,5.885575587824865,-1.38047394765342,-1.9100889412489412,0.02990387593227739,0.11966019335926625,0.968525595639117,0.00617823533815773,5.791117868946328,1.342260715349496
I,2845.9,2677.7,2716.8,2901.3,3683.0,6.594694837519019,9.1,6.029925372672534,4.960846701924985,3.0983866769659336,-1.391008974225288,-1.8577121861515926,0.037030935235103035,0.1962190898044227,0.9652734061667176,0.009340842965318083,7.093057890451291,1.1538629739733757
I,2849.3,2676.1,2713.2,2899.8,3682.8,4.124318125460256,3.7,9.325234581499814,4.833218389437829,7.345747068882784,-1.3781307542323926,-1.849295472822766,0.03484745229880781,0.22545836628306004,0.9688957157277507,0.0033304721001209564,6.318342096753189,0.8775836987983013
I,2848.5,2677.5,2716.7,2901.3,3685.3,4.544227107000705,4.8218253804964775,7.22564875980005,3.4365680554879163,6.694027188471823,-1.3685927888011773,-1.8101572487927795,0.07826151319670682,0.49596634083958624,0.9692680756099815,0.005421955673279744,5.96588257841127,1.8742638716597235
I,2847.3,2673.8,2715.5,2903.9,3683.7,4.879549159502341,5.344155686354955,4.984977432245807,5.974110812497538,2.758622844826744,-1.3860628095444718,-1.8026201312952996,0.028692159944168294,0.25307565216460226,0.9668399665190881,0.010023928439926624,6.381975183551632,0.877737293574289
I,2845.9,2674.3,2715.6,2902.4,3682.8,3.269556544854363,4.1000000000000005,3.8000000000000003,5.660388679233963,2.7129319932501077,-1.3850063269957693,-1.8157749899217608,0.03959388877968828,0.22545836628306004,0.9661280285877665,0.006052468679476353,5.697495974301044,1.195269686231267
I,2847.2,2676.9,2713.9,2899.2,3682.3,3.8678159211627436,6.6550732527899354,3.144837038703277,5.528109984434101,4.001249804748512,-1.38047394765342,-1.8349316094496513,0.0395640094853531,0.32818823370172945,0.9683500739095722,0.010868963121012425,5.824665189685942,1.1105023314072036
I,2848.2,2672.1,2714.7,2902.1,3681.7,3.893584466786357,7.968061244744546,3.579106033634656,2.913760456866693,1.1,-1.3858526088879053,-1.783878912949469,0.023942583137102957,0.15383810577155632,0.9681218252531381,0.008374453327388674,5.11890321652549,0.7735760207277611
I,2846.3,2672.8,2713.4,2900.5,3680.9,2.72213151776324,9.314504817756015,3.1999999999999997,3.774917217635375,5.6824290580701495,-1.3824170537614535,-1.783878912949469,0.038425940246242574,0.39852244566642026,0.9686281176863913,0.009978458163378794,6.218620807190328,0.7835529697343411
I,2845.7,2674.8,2714.3,2898.2,3683.8,3.5510561809129406,4.019950248448357,2.934280150224242,8.541662601625049,3.249615361854384,-1.3817612002855806,-1.8157749899217608,0.04955182594290242,0.20464180982977798,0.9655200468274598,0.01228979960372957,7.263969677228657,1.6548064927062023
I,2845.8,2673.0,2713.8,2900.2,3679.9,2.6,4.669047011971501,2.227105745132009,4.019950248448357,4.908156476723211,-1.36906106708265,-1.8219475158438732,0.05997365938231369,0.3392926144540447,0.966289932765147,0.007332519125641142,5.959798273584125,1.68340563685158
I,2843.7,2672.4,2711.3,2896.2,3681.0,2.9,3.903844259188627,3.3778691508109073,3.4871191548325386,4.711687595755898,-1.3798085560313385,-1.7894652726688387,0.023942583137102957,0.17539422054342269,0.9683674623923068,0.00802856026221613,5.288663489389911,1.1818073007026688
I,2846.0,2674.3,2712.9,2898.8,3685.1,2.8284271247461903,9.055937278934744,2.467792535850613,4.331281565541543,4.323193264243458,-1.3821317722371884,-1.762705138439181,0.028717175153516017,0.2662520491509255,0.9705981393972924,0.006265125578448907,5.428217217079758,0.7876406821634366
I,2845.2,2671.8,2709.2,2899.9,3682.1,1.9390719429665317,5.192301994298868,6.144916598294887,7.2034713853808015,3.477067730142742,-1.3870526789926796,-1.7621680817176844,0.04395970059199272,0.2662520491509255,0.9687525044360747,0.005346508097166389,6.29302486946914,0.907197879320112
I,2844.5,2673.9,2713.3,2897.6,3682.4,3.1064449134018135,7.462573282722255,2.9,5.043808085167396,2.244994432064365,-1.381718846845676,-1.7359450042095235,0.0199582267656766,0.28670955284310295,0.9682122018917008,0.0050131933958761764,4.213490513688439,1.0132362464191316
I,2845.9,2671.7,2711.1,2899.7,3682.4,2.947880594596735,3.3778691508109078,2.913760456866693,3.7161808352124095,3.4698703145794947,-1.381718846845676,-1.723542239090653,0.03546568042836573,0.30587887140485215,0.9696502513876115,0.009919172543189912,7.380040315345862,1.2642527215196144
I,2846.3,2674.2,2713.3,2895.6,3684.2,3.950949253027682,5.582114294781145,5.23545604508337,4.6303347611160905,9.173875952943773,-1.3813089723124135,-1.743297415398449,0.06712868224554103,0.2709468503384207,0.9685861183548891,0.005561594214682323,5.8008538215317484,0.9991020674688382
I,2844.3,2671.7,2710.6,2897.3,3679.9,1.8466185312619388,4.817675788178362,4.054626986542659,2.9342801502242417,1.5132745950421556,-1.3807338385339036,-1.7571187787198115,0.03112859270882118,0.21219102762269793,0.966355186016664,0.005258750678491465,6.821757232642208,1.0634181956754958
I,2844.2,2668.9,2708.9,2902.7,3682.1,2.227105745132009,12.445481107614924,4.0853396431631,14.533065746772083,1.5132745950421556,-1.3828387145344283,-1.7618805395166177,0.04002469087461846,0.3392926144540447,0.9653975256696065,0.0052552289199815135,6.666406477946791,1.4619797094313824
I,2844.6,2669.0,2710.3,2898.1,3682.5,5.517245689653489,3.0659419433511785,2.6095976701399777,4.948737212663449,3.5846896657869842,-1.3818647689063068,-1.74070676500633,0.036149930717038536,0.23055293647160147,0.9693840867153888,0.009720721319493817,6.375240567591662,1.458399021301627
I,2844.0,2669.8,2712.2,2899.5,3683.5,2.280350850198276,4.308131845707604,6.161168720299744,8.476437931112336,2.539685019840059,-1.3790433115212428,-1.7460446405000574,0.044190637353196616,0.3183082272017208,0.9688964738620186,0.015479758969273933,6.242252768509845,0.8477029987154565
I,2844.7,2669.1,2706.3,2897.2,3681.5,2.4103941586387903,4.036087214122113,12.247856955402444,4.833218389437829,7.513321502504734,-1.3781307542323926,-1.7105708956641335,0.036610200956349814,0.3380239820867452,0.9667379306860309,0.006911828476656588,6.099972455455304,1.4273072698920126
I,2843.7,2668.3,2710.9,2895.0,3681.8,2.8301943396169813,6.1975801729384665,4.846648326421054,3.872983346207417,2.6758176320519307,-1.385778890429674,-1.7359450042095235,0.020322445967789537,0.3448072644330409,0.9678339464903243,0.01036590666386972,6.891437922340711,0.9485585709508587
I,2844.7,2668.8,2709.8,2893.4,3682.0,6.664082832618454,3.6,2.5219040425836985,5.0039984012787215,5.0,-1.382684057092335,-1.74070676500633,0.04431044596623357,0.20182520972537188,0.9684469616697318,0.007777045239980547,6.785474739988774,0.9933139246855867
I,2845.2,2667.0,2709.7,2898.4,3683.4,5.2497618993626745,7.496665925596525,5.060632371551998,4.498888751680797,6.974238309665077,-1.3840070921631105,-1.724319192804292,0.07277894797169537,0.3028848683749714,0.9674261010220446,0.00683659720071486,6.585880273438624,1.4883047483402005
