Label,Pulgar,Indice,Corazon,Anular,Mennique,Pulgar_std,Indice_std,Corazon_std,Anular_std,Mennique_std,Pitch_median,Roll_median,Pitch_range,Roll_range,A_mag_mean,A_mag_std,G_mag_mean,G_mag_std
L,2725.0,2543.9,2720.4,2923.5,3772.4,4.266145801540309,3.9357337308308855,3.903844259188627,3.930648801406709,6.086049621881176,-1.412296814085333,-2.5244221785795915,0.042774956632024574,0.3430239404207036,0.9638996705062036,0.005236907296487846,9.550092779867025,2.542354793480193
L,2727.1,2547.9,2717.8,2921.1,3771.4,2.5865034312755126,2.8442925306655784,3.867815921162743,3.080584360149872,5.71314274283428,-1.4301147292760363,-2.4613574270248737,0.0388426433951341,0.23887373286692526,0.9608130403871072,0.00763553679074862,6.1043159872383566,1.249706496720815
L,2725.3,2548.7,2716.4,2915.7,3765.2,3.7960505792204615,5.158488150611572,3.261901286060018,7.2532751223154355,4.975942121849891,-1.4445105996307173,-2.2386883823320165,0.038414606718174094,0.278299659005111,0.9644607654871585,0.0039283375522346075,6.07326063587898,1.7768807637775919
L,2730.3,2551.9,2711.4,2918.1,3765.0,4.605431575867782,3.806573262134856,8.558037158133867,7.175653280364096,4.795831523312719,-1.4315147648251836,-2.235411636644682,0.035716025686611585,0.303734485842587,0.966539173348799,0.006482775811333675,7.807560533914218,1.338995335789154
L,2731.1,2555.2,2715.5,2916.3,3766.4,5.957348403442593,6.079473661428265,4.631414470763764,8.485870609430714,4.608687448721165,-1.4128376258556008,-2.241508895368808,0.03373920332899827,0.28132628414588456,0.9636860542324284,0.004380511149750825,7.735870591633668,2.047661151044618
L,2728.0,2551.7,2711.2,2912.7,3763.9,0.8944271909999159,5.831809324729334,3.4583232931581165,7.17007670809734,3.3600595232822887,-1.4019936012292216,-2.220394694312307,0.03954585335280747,0.21866894587394192,0.9641063543991505,0.007677070221099091,3.7342291511070953,1.8696584305754842
L,2730.5,2546.1,2711.3,2914.3,3762.7,2.0615528128088303,4.22965719651132,4.495553358597805,5.692978130996114,3.874274125562103,-1.4027450035076177,-2.269293930647752,0.025585289284337787,0.22280115375939458,0.9652359948907756,0.00542901162408571,6.429787956530395,1.0861062719903094
L,2728.9,2546.0,2710.3,2915.1,3761.4,2.547547840571399,2.756809750418044,4.62709412050371,6.670082458260917,4.2708313008125245,-1.4065324071088563,-2.2316287586052193,0.061234088978853185,0.4333538490820308,0.9644679459881864,0.007847366521873707,6.580775559442282,0.9993713205046028
L,2727.9,2546.5,2712.4,2914.7,3763.5,5.889821729050889,3.930648801406709,4.498888751680797,5.710516614107694,3.170173496829472,-1.4128588550475194,-2.2610302203463917,0.053110479282301615,0.21406068356382146,0.9637942367901176,0.008981599532077415,6.335397393913609,1.354514621992929
L,2730.3,2548.2,2709.2,2911.7,3762.4,3.4942810419312296,5.095095681142799,6.273754856543248,8.379140767405689,4.882622246293481,-1.4219854356457349,-2.235411636644682,0.032810813938864536,0.23374318086890122,0.9642027062844101,0.00728980067075865,6.277418404645753,1.0334302942215126
L,2729.4,2543.4,2709.6,2909.6,3764.0,2.8,2.8705400188814645,1.6852299546352718,8.357032966310472,4.47213595499958,-1.4178521564542668,-2.214297435588181,0.04316929598065111,0.17108584259695858,0.9628807056464677,0.00327821502659517,4.209250280098639,1.2883369433069622
L,2722.4,2535.9,2711.7,2911.0,3760.4,3.261901286060018,5.52177507691141,2.794637722496424,4.2895221179054435,2.0099751242241783,-1.4210035924035191,-2.251031553359816,0.044584449472453436,0.36933365767362547,0.9648574307650011,0.008951999640377236,5.408506233448139,1.3981238581587205
L,2720.7,2535.7,2711.5,2908.0,3765.7,5.797413216254298,11.402192771568108,6.422616289332565,11.436782764396638,9.560857702110203,-1.4427735135661734,-2.293532496946572,0.05465403408514646,0.2855546707696086,0.9661975079290681,0.007237103817000196,6.076637334400145,1.4696729929390053
L,2725.0,2530.3,2707.6,2906.9,3762.1,5.0,5.478138369920935,4.565084884205332,10.319399207318225,4.011234224026316,-1.4445105996307173,-2.289626326416521,0.06309628528225275,0.2975617247378062,0.9649639543390769,0.007386936191125328,7.827298708497696,2.09522670084893
L,2724.8,2534.0,2706.9,2908.1,3757.3,3.1559467676119,2.6076809620810595,4.784349485562275,7.327346040688948,5.020956084253277,-1.438138128627561,-2.3268165788344835,0.03634659360118886,0.34464731561802653,0.9635061932916098,0.005984604306954475,5.5972808573070685,0.9843612164362496
L,2726.7,2535.7,2708.9,2909.0,3761.5,4.290687590584987,5.916924876994806,7.647875521999558,10.620734437881403,6.5612498809297,-1.4418130305968226,-2.3005250480290127,0.02246708933010999,0.2975617247378062,0.9631171344660887,0.005038382461630218,5.9902757071725805,1.051953873541061
L,2716.7,2524.8,2700.4,2909.4,3747.4,7.02922470831599,6.04648658313239,4.029888335921977,7.1860976892886725,1.9595917942265426,-1.4728402066563893,-2.1718465388633197,0.02884770902940703,0.4266274931268761,0.9677930471285666,0.0068277323910479505,8.403628372177225,2.5088623282950318
L,2717.0,2528.8,2699.2,2905.8,3745.1,2.23606797749979,4.995998398718719,4.331281565541543,6.2577951388648065,2.3853720883753127,-1.4543230613086466,-2.085984740057053,0.023334251999083788,0.45257795047069904,0.9686331804927135,0.00630568383048324,7.5113182640100415,1.6588966021874783
