Label,Pulgar,Indice,Corazon,Anular,Mennique,Pulgar_std,Indice_std,Corazon_std,Anular_std,Mennique_std,Pitch_median,Roll_median,Pitch_range,Roll_range,A_mag_mean,A_mag_std,G_mag_mean,G_mag_std
P,2810.7,2509.8,2531.9,2721.0,3706.2,4.495553358597805,7.782030583337488,3.3301651610693423,4.358898943540674,2.749545416973504,-1.0931840681593927,-2.79471670925534,0.039540893777711306,0.20304521725346492,0.9515976349513504,0.008481813190361539,5.749821080698176,2.1647488399255144
P,2805.0,2507.4545454545455,2522.090909090909,2729.0,3727.6363636363635,9.273618495495704,5.263314482229138,9.78360916351746,8.022695081058258,13.613313852607188,-1.0973382251853114,-2.572782107756458,0.05687117120776475,0.0924586367156639,0.952931312553827,0.00647406784335837,8.061147174730905,2.022148913242531
P,2800.2727272727275,2505.5454545454545,2520.818181818182,2729.4545454545455,3722.5454545454545,7.136218875196495,6.329780067465166,5.637829721350419,6.485839629722533,8.370550501757894,-1.10091872476334,-2.550211723074333,0.028555067415306334,0.05849672180171206,0.9522780128261303,0.006048660009987714,7.029554553484047,2.4752662037832813
P,2808.0,2487.2727272727275,2505.7272727272725,2724.909090909091,3721.181818181818,10.668560437949527,7.86350499102033,4.788070575368615,7.3417182216618055,7.529556087581329,-1.0802636328356838,-2.6335466116213353,0.07009543275404773,0.09189729155416071,0.9518815828749718,0.011465259850453994,8.472450940737101,3.0617176644496493
P,2798.818181818182,2484.818181818182,2503.7272727272725,2720.7272727272725,3720.7272727272725,6.83331653562405,7.407835922713951,5.495302276257242,9.00596680076764,5.894387300889938,-1.087539975716497,-2.6279866488670445,0.028377779737227327,0.08259145608322083,0.9531505054024663,0.00860895179581441,6.398170263932174,1.8915356919006563
P,2802.7272727272725,2498.181818181818,2512.4545454545455,2726.7272727272725,3738.909090909091,9.497281037614819,9.95278108066632,11.664738132614866,10.181006461150265,8.479435502808014,-1.0024893755863566,-2.5644004397163322,0.03296733418912423,0.0442824095954828,0.9443868383706173,0.007968658127288955,7.135832076469957,1.973717451010268
P,2802.4545454545455,2489.181818181818,2512.4545454545455,2732.090909090909,3734.6363636363635,8.217095664346667,5.131333015152759,12.837187714984623,8.836438458343903,12.694112645938217,-1.0178186066668702,-2.5755804161815767,0.06010168804852556,0.09844615921263289,0.9477986974364996,0.008223693675881999,6.2950198133791355,1.312834928376036
P,2804.2727272727275,2488.0,2513.6363636363635,2733.181818181818,3736.090909090909,9.284306495772206,11.552252830272781,7.819238829180792,8.757523330030761,6.921042294790647,-1.025859774956808,-2.5851392478172364,0.035187250252176394,0.039464477851137936,0.9477709002951602,0.005506410237297751,5.5603014526899655,1.2623025608838232
P,2801.2727272727275,2484.5454545454545,2513.818181818182,2735.090909090909,3726.818181818182,5.626090344278474,19.471954827222365,7.271590820298626,6.1267601619979075,10.495177956117683,-0.9548564366406551,-2.7644760550508343,0.04177816647869692,0.07778634691974995,0.946352224335911,0.012143619496414558,9.457759459200599,3.4445400290752275
P,2803.090909090909,2484.7272727272725,2520.7272727272725,2731.6363636363635,3731.5454545454545,9.53895882878158,7.435674562428557,11.458152390256776,14.692439164245036,4.887156383896586,-0.9735570921884936,-2.789436829056144,0.05791833218019138,0.06988948474157386,0.9483189176849212,0.015531592349130156,7.991410697403948,3.1495642659608873
P,2795.2727272727275,2491.181818181818,2527.3636363636365,2728.3636363636365,3724.3636363636365,3.359948838650242,5.201716182152715,9.52768909569011,7.022984696664715,5.296186059501639,-0.9868127017901978,-2.8058920830534557,0.09212279846331362,0.08681028215706199,0.9486257471304802,0.017583852852496095,9.047741942892614,2.2327327952134786
P,2814.090909090909,2477.5454545454545,2502.090909090909,2721.2727272727275,3729.7272727272725,6.721127414281645,8.585014812965845,6.8017984981854145,8.280216390353237,7.782158021466434,-1.1247350237306024,-2.598760443271269,0.08735316378539992,0.12443045485449655,0.9519891130033835,0.013664871862959286,8.957039931639091,5.74898735978979
P,2805.4545454545455,2489.090909090909,2501.181818181818,2720.090909090909,3720.4545454545455,8.521242294873083,15.005784008808346,16.140396423081274,9.069975899081394,13.943806943088235,-1.1208346520403074,-2.5701779646369225,0.06531461760004209,0.14520003139472726,0.9465720534235164,0.01230234439397126,7.10002705114321,2.6139387661218545
P,2808.0,2483.2727272727275,2524.2727272727275,2718.6363636363635,3720.7272727272725,13.5847508091041,17.720511531149988,10.163132204116362,8.488202800172692,12.083729926046006,-1.13229870589895,-2.601173153319209,0.028936638612152787,0.10507068711323964,0.951458371577209,0.007547658951329814,6.013199381022846,2.958505231373853
P,2810.909090909091,2491.7272727272725,2529.090909090909,2720.7272727272725,3732.7272727272725,7.913791706480131,12.351598417657302,8.764126730905476,5.495302276257242,10.703363185049565,-0.9679643198517365,-2.7814949844883143,0.570222173639041,0.48545100690050624,0.9601412802478991,0.10591846847422404,41.42915686997078,27.62781118806471
P,2809.7272727272725,2505.4545454545455,2518.909090909091,2740.0,3726.7272727272725,6.770133731603952,6.527753844005906,7.739562419561005,7.651500150000295,4.749945628222957,-1.1638721444845532,-2.3743743052653232,0.06625408313424352,0.14664429623892827,0.953361858684923,0.008436018304209451,6.368908749146963,1.8768967326518695
P,2802.0,2501.7272727272725,2547.3636363636365,2730.0,3719.0,4.390071442781686,13.889766730752202,10.092956385273906,5.009082659620331,8.453079051715147,-1.1606534171680023,-2.4485550511067107,0.03323368002180627,0.11244975296141702,0.9551072157643425,0.005496034469117981,7.938734928005159,1.899012307193113
P,2803.3636363636365,2506.181818181818,2544.3636363636365,2743.6363636363635,3719.090909090909,4.051323628210398,11.542948904915399,10.747284877186654,24.30590174225454,5.583328193739669,-1.1770099011092214,-2.418856483438118,0.06586943098742704,0.15608050059547285,0.9394452135634708,0.02286243015701851,15.234407628141984,12.18235708800269
P,2800.090909090909,2482.7272727272725,2513.818181818182,2743.2727272727275,3722.7272727272725,3.9875840362656927,14.5732688608032,4.763844547845055,6.411508248183802,6.981676134918646,-1.0632089834423937,-2.4568530443796655,0.1426572053800197,0.30319373277367445,0.9453586182553174,0.019159407360273252,14.003718655593065,7.5670108903710975
P,2799.0,2487.7272727272725,2538.909090909091,2732.2727272727275,3715.818181818182,7.385489458759964,4.749945628222957,7.774720637536472,4.136113878573573,5.685998462222505,-1.0942823120129446,-2.5353264897641044,0.13190761667480078,0.1922953787132573,0.9507481305527193,0.025455691907887427,10.913123532835508,1.7930657425403638
P,2795.090909090909,2495.0,2542.4545454545455,2730.5454545454545,3712.4545454545455,5.64808166073057,8.257228238447706,7.536138827659166,6.213820905685477,5.123273746765589,-1.2036288691976629,-2.4566625223585232,0.13315812333680044,0.18736724274134575,0.9510916561571273,0.016572917313883866,10.68307785432625,2.5563797758557074
P,2806.5454545454545,2506.909090909091,2540.7272727272725,2728.818181818182,3715.181818181818,3.3128849378706544,5.451514309296345,4.84469548889972,7.271590820298626,5.507320447585803,-1.1531989770776367,-2.2434275768969476,0.08116777656886032,0.3411566207237593,0.9463864207587065,0.017965038366909245,15.755279210131542,3.651302097991456
P,2801.4545454545455,2501.2727272727275,2535.3636363636365,2726.6363636363635,3710.909090909091,5.630495478982553,10.181006461150265,2.931730090290382,6.442370078736936,6.067117713986757,-1.0654502962416963,-2.53560793890646,0.0590594512690652,0.12188091853914829,0.952658171519225,0.011063825633422291,9.029696770592498,3.8185306377128114
P,2802.181818181818,2512.6363636363635,2543.909090909091,2732.909090909091,3722.090909090909,4.80185914408882,9.883620309037735,5.333505506862775,15.465236943513288,5.1425947722658005,-1.1280836118164523,-2.1175029857459324,0.06899933976171879,0.0974165411365302,0.9542578534326586,0.010096987773322963,9.757104161246222,4.631991837923686
P,2801.2727272727275,2507.7272727272725,2538.0,2734.3636363636365,3714.818181818182,4.069641688290798,6.756692427658926,6.452624554114677,2.900555660644331,5.236553026878061,-1.1227471109241898,-2.2236092982885967,0.07958840947195145,0.1395911401669947,0.9585653503650846,0.011066574874930648,11.206383499506426,5.832206174509787
P,2800.090909090909,2509.0,2538.7272727272725,2736.5454545454545,3711.6363636363635,5.615798258720182,5.0990195135927845,3.047828111680038,5.646618237552557,5.661235446160096,-1.1473599181078,-2.234293566712683,0.03614598599773711,0.1160492502607755,0.9555958188675919,0.007525354661165179,6.624868818911236,2.283887723207435
